Keyword1,you,it,love,skin,my,so,your,that,one,toner,like,this,rice,re,with
you,64,16,10,11,9,12,16,12,8,2,11,12,1,6,5
it,16,84,17,26,32,19,10,18,9,16,13,10,17,3,15
love,10,17,48,10,12,9,8,6,3,4,8,9,5,2,4
skin,11,26,10,73,33,21,21,18,10,16,6,10,15,3,10
my,9,32,12,33,75,17,5,13,9,16,6,10,17,4,12
so,12,19,9,21,17,85,19,11,3,8,8,12,7,4,6
your,16,10,8,21,5,19,51,9,4,2,3,5,2,3,2
that,12,18,6,18,13,11,9,56,7,8,7,5,10,3,10
one,8,9,3,10,9,3,4,7,34,2,6,3,4,1,7
toner,2,16,4,16,16,8,2,8,2,34,3,3,27,0,6
like,11,13,8,6,6,8,3,7,6,3,34,8,4,2,7
this,12,10,9,10,10,12,5,5,3,3,8,34,0,1,5
rice,1,17,5,15,17,7,2,10,4,27,4,0,31,0,9
re,6,3,2,3,4,4,3,3,1,0,2,1,0,9,0
with,5,15,4,10,12,6,2,10,7,6,7,5,9,0,30
